variable,year,mean,sd,lower,upper
b_t,1951,1012852.14183356,479266.218129378,490003.720429819,1911243.21895751
b_t,1952,596448.80720498,299859.448713562,266680.569711902,1143813.84163463
b_t,1953,475588.868852214,247082.482894185,213509.265639595,924429.834769479
b_t,1954,476477.280461064,254135.567815906,214579.764105104,902205.818750228
b_t,1955,496465.513659328,265264.816775365,214817.6057868,990083.021465834
b_t,1956,481225.750826777,253983.636806916,203328.718576684,944247.722994162
b_t,1957,414022.952536548,217974.008788079,176548.201347051,795994.986044528
b_t,1958,393849.057024239,201347.471553274,170910.370269118,762407.461660742
b_t,1959,346129.184960133,177389.735682918,153855.864789668,683663.758677777
b_t,1960,344731.273655071,178089.43733983,149356.683333419,677012.122294619
b_t,1961,356690.484677977,184637.452049458,156571.974516006,697632.921813194
b_t,1962,343797.099658151,175797.776923235,152281.916749767,675111.663923279
b_t,1963,352634.359517643,181549.792835832,158740.237390063,669693.970065382
b_t,1964,362147.742878081,190512.263188486,157432.803427061,718207.43183313
b_t,1965,389705.937060425,203856.969374791,168089.346636835,762219.528724782
b_t,1966,460730.728691684,237434.298285073,204707.635012107,909244.504574005
b_t,1967,456728.939334466,240002.079613045,197544.279218009,901786.092087953
b_t,1968,438042.302492745,233791.516230482,188635.489970782,873199.955382545
b_t,1969,488087.699552684,255261.659716524,216427.544350609,955858.190904148
b_t,1970,584176.23585258,309069.163605336,251898.297967486,1137528.56905418
b_t,1971,594878.780645099,312146.458982795,262211.364625601,1170714.92249179
b_t,1972,681787.627083428,348824.070618344,305392.471580724,1309838.32262319
b_t,1973,737802.136145564,386525.335035958,317252.768964905,1433007.41304946
b_t,1974,746513.859346677,392025.160009456,324032.902805244,1457446.72010136
b_t,1975,918308.191211847,483814.823789821,389543.067341391,1847404.50841368
b_t,1976,1142212.37144464,592715.491791812,500177.951429118,2217876.5119623
b_t,1977,1148443.9488229,611051.882623447,485936.839004893,2301284.54940358
b_t,1978,1042857.8596152,547629.244739566,443845.569505896,2031706.48713848
b_t,1979,1027387.8858205,528693.332834039,452622.753114832,1995478.29148028
b_t,1980,1174051.3712021,613369.385351805,520014.874170304,2281041.29965103
b_t,1981,1329507.99777837,702197.694330226,575249.08816358,2574337.15794015
b_t,1982,1578298.48527732,821959.55637051,684390.0437858,3045286.71465815
b_t,1983,1438378.8822484,745186.269235682,624550.772330692,2818506.67906955
b_t,1984,1449007.86137519,760693.576819891,615816.005038291,2857122.80626201
b_t,1985,1391021.45398565,735527.953391018,612160.15780379,2770831.88153196
b_t,1986,1270813.96174832,651209.956204776,562516.05484279,2443286.71710275
b_t,1987,1711453.06357344,882656.302098052,740666.157978762,3340339.72290921
b_t,1988,1411408.0018594,726643.870622129,612861.419330984,2702439.24024855
b_t,1989,1502580.70149091,759735.431813171,667991.219058914,2920689.86336714
b_t,1990,1416175.41783594,738181.069075269,621516.971889486,2702353.30740166
b_t,1991,1329841.18550664,691835.388435271,567246.586830368,2591875.07619589
b_t,1992,1539891.47645805,790350.188898246,670681.663765411,2997462.54749038
b_t,1993,1728463.89280915,867851.889740055,768371.460876262,3312756.86954771
b_t,1994,1822563.95380003,930310.778481268,779797.24098179,3499878.77473904
b_t,1995,1890626.43174728,961360.510761739,844041.419857638,3698762.88847518
b_t,1996,1985334.67742416,1001664.51799955,871656.853816266,3883302.00254363
b_t,1997,1899796.48243805,987285.925909668,804220.329979251,3800804.74215939
b_t,1998,1733373.96937186,891727.708572909,751456.388880735,3418902.47668023
b_t,1999,1650278.40820029,838605.248155534,737691.38513376,3176060.10709728
b_t,2000,1614814.65935726,819378.335043491,728906.406802572,3099297.05215993
b_t,2001,1599516.4819653,826987.562324516,701037.053672157,3122347.3885544
b_t,2002,1637593.84564261,862761.466764816,730312.898810192,3298675.87770012
b_t,2003,1499223.73521877,762927.465416462,677010.396995089,2928963.74981327
b_t,2004,1625057.98276342,835631.177350304,710220.865459059,3133756.94303987
b_t,2005,1593841.35735181,806438.550965065,716115.826379462,3020415.89752139
b_t,2006,1911459.95819799,1018415.22368619,818695.243236952,3756803.82308597
b_t,2007,2068850.71058976,1078018.35035076,901126.762181642,4050007.69478885
b_t,2008,2077568.80204564,1057173.22658333,929489.431956546,3957079.83685265
b_t,2009,2180824.15944178,1111802.91146289,960491.133878786,4158412.98342627
b_t,2010,2378085.52620198,1237563.23512458,1027782.35619446,4618796.38083897
b_t,2011,2374064.6626623,1231339.19027803,1047385.19247833,4615719.97691816
b_t,2012,2239341.04206308,1146533.67396601,990396.052202019,4284051.44515412
b_t,2013,2269798.18137567,1156847.14064224,983280.892715428,4255886.64713361
b_t,2014,2293852.53818939,1176224.28587634,998602.324338914,4443022.90853662
b_t,2015,1926388.19819261,977109.276430912,851776.223064244,3797956.47488839
b_t,2016,1535089.49527029,873144.323201541,595541.102758955,3192145.72347567
b_t,2017,1251128.89599291,759328.085689396,459045.996709947,2555570.17302179
b_t,2018,1034536.34741194,625053.654737379,385242.378781694,2170190.33897144
b_t,2019,830527.80244074,447502.48683851,356937.169967745,1683653.81482765
bmsy,1951,752055.697594495,341132.775731532,372150.27294988,1369222.069133
ck,1951,0.000762552126049071,0.000301713583663788,0.000353850563049367,0.00130189349609932
ck,1952,0.000823934030932278,0.00032600012600205,0.000382333890105972,0.00140668987659028
ck,1953,0.000834951295911315,0.000330359248985841,0.000387446282141773,0.00142549948334507
ck,1954,0.00102775343304446,0.000406643901202175,0.00047691314276829,0.00175466760155388
ck,1955,0.00102696648554596,0.000406332535274761,0.00047654797190859,0.00175332405821425
ck,1956,0.00109070923292468,0.000431553175395264,0.000506126811544295,0.0018621510687241
ck,1957,0.00104349238301452,0.000412871219750447,0.000484216559962291,0.00178153846834644
ck,1958,0.00104270543551602,0.000412559853823034,0.000483851389102591,0.00178019492500681
ck,1959,0.00104427933051302,0.000413182585677861,0.000484581730821991,0.00178288201168606
ck,1960,0.00103326206553398,0.00040882346269407,0.00047946933878619,0.00176407240493127
ck,1961,0.00111116986788575,0.000439648689508018,0.000515621253896497,0.00189708319555442
ck,1962,0.00137951896487515,0.000545824470756059,0.000640144517054221,0.0023552314743675
ck,1963,0.00141257075981226,0.000558901839707431,0.000655481693161624,0.00241166029463186
ck,1964,0.00143854002726285,0.00056917691531208,0.000667532331531726,0.00245599722483958
ck,1965,0.0015140869871191,0.000599068044343786,0.000702588734062932,0.00258497738544385
ck,1966,0.00266539117742849,0.0010545963961499,0.00123683370180413,0.00455058129131929
ck,1967,0.00278972888219191,0.00110379221268125,0.00129453069763674,0.00476286113898048
ck,1968,0.00292587079943286,0.0011576585181238,0.00135770525636486,0.00499529413673608
ck,1969,0.00312732935904954,0.00123736819554169,0.00145118899644807,0.00533924123168079
ck,1970,0.00277320298472335,0.00109725352820556,0.00128686210958304,0.00473464672884829
ck,1971,0.002669325914921,0.00105615322578697,0.00123865955610263,0.00455729900801743
ck,1972,0.00351686837080836,0.00139149432961142,0.00163194857199961,0.00600429518479655
ck,1973,0.00378206967780375,0.00149642464714981,0.00175501115171853,0.00645706929025111
ck,1974,0.00368134039799541,0.00145656980844087,0.00170826928167692,0.00628509574277875
ck,1975,0.0048357923782988,0.00191334362395664,0.00224397493285692,0.0082560738220127
ck,1976,0.00565736556673557,0.00223840965217644,0.0026252133103838,0.0096587330685841
ck,1977,0.00609254753340754,0.00241059501003617,0.00282715279579793,0.0104017125353983
ck,1978,0.00810634618207583,0.0032073804182876,0.00376162502577041,0.0138398399415058
ck,1979,0.00706364074655981,0.00279482056446457,0.00327777363666782,0.0120596450164989
ck,1980,0.00789859204247113,0.00312517981345041,0.00366521991880959,0.013485144499844
ck,1981,0.00903179644031495,0.00357354674892601,0.00419106595677769,0.015419846908908
ck,1982,0.0128760349705004,0.00509456930434149,0.00597492560641253,0.0219830561229897
ck,1983,0.0117884735275697,0.00466426159265588,0.00547025947830703,0.0201262792276241
ck,1984,0.0115295678005624,0.00456182220253681,0.00535011826546571,0.0196842534688866
ck,1985,0.0128555743355393,0.00508647379022874,0.00596543116406033,0.0219481239961594
ck,1986,0.0123157283515665,0.004872876764023,0.00571492395430608,0.0210264532651747
ck,1987,0.017791309046148,0.0070393608869669,0.00825578279609916,0.0303748278223048
ck,1988,0.0154800442430457,0.00612487915815313,0.00718327598116005,0.026428841033818
ck,1989,0.0165219627310632,0.00653712764604875,0.00766676219940295,0.0282076924154852
ck,1990,0.0139502183059565,0.00551958379526107,0.00647338382990312,0.0238169927815816
ck,1991,0.016011233804535,0.00633505115915732,0.0074297663114576,0.0273357327880668
ck,1992,0.0158451878823509,0.00626935294847304,0.00735271526006089,0.0270522451434053
ck,1993,0.0216992903237122,0.00858560408250289,0.0100692212853697,0.0370468640468964
ck,1994,0.0240554111342291,0.00951783366917924,0.0111625428393117,0.0410694328057419
ck,1995,0.0255938934938018,0.0101265540572728,0.0118764518700253,0.0436960600347143
ck,1996,0.0291485353445383,0.0115329939514001,0.0135259286432906,0.0497648452998129
ck,1997,0.0322270739586807,0.0127510574594422,0.0149544770464372,0.0550207868444368
ck,1998,0.0313622186578262,0.0124088663052146,0.0145531542716268,0.0535442327141859
ck,1999,0.029370454539116,0.0116207991429308,0.013628906825726,0.050143724521588
ck,2000,0.0352481654054323,0.013946391254783,0.0163563679768258,0.0601786497252679
ck,2001,0.0336341360860034,0.0133077797376577,0.0156074025435809,0.0574230423356913
ck,2002,0.0325182445331266,0.0128662628525852,0.0150895902645262,0.0555178978800991
ck,2003,0.0341558822775107,0.0135142153475329,0.0158495108235621,0.0583138115698645
ck,2004,0.0385793141665941,0.0152644032255248,0.0179021362259362,0.0658658686819123
ck,2005,0.0447434739223653,0.0177033325349556,0.0207625195699668,0.0763898436612166
ck,2006,0.0411274501667457,0.0162726060984901,0.019084559469645,0.070216262015627
ck,2007,0.0493809555310415,0.019538211945204,0.0229144714461793,0.0843073445616432
ck,2008,0.0484476357978173,0.0191689319552915,0.022481378806575,0.0827139021608446
ck,2009,0.0550753076302067,0.0217912557959689,0.025556847786969,0.0940292241671898
ck,2010,0.0600826545631791,0.0237724771921017,0.0278804299672406,0.102578190437241
ck,2011,0.0636609048388706,0.0251882580640514,0.0295408618662968,0.108687282002529
ck,2012,0.0622404646040733,0.0246262425650699,0.0288817284645381,0.106262186274501
ck,2013,0.0683117645550213,0.0270284306950659,0.0316990216471242,0.116627623139729
ck,2014,0.0633335346794935,0.0250587298382474,0.0293889507886615,0.108128367973244
ck,2015,0.0579445182097474,0.022926495967319,0.0268882607414355,0.0989277831834726
ck,2016,0.0548998183380406,0.0217218211941557,0.0254754146852559,0.0937296140024528
ck,2017,0.0522627572705582,0.0206784339713927,0.024251727134401,0.0892274002713601
ck,2018,0.046126927624733,0.0182507138353488,0.0214044899413195,0.0787517928522823
ck,2019,0.0580027523246365,0.0229495370459476,0.0269152833850533,0.0990272053906051
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.672547325087089,0.0660035876004759,0.576164182230313,0.782583065777619
dep_t,1952,0.394977107058663,0.0709251730570219,0.289760895209201,0.511320621667784
dep_t,1953,0.314660466195965,0.0616112569040866,0.227771073168017,0.417726975147821
dep_t,1954,0.314175314020194,0.058627303024,0.227319972272553,0.415819316823501
dep_t,1955,0.326559072694055,0.0686339881315822,0.228049865590134,0.44749151898594
dep_t,1956,0.315954550797247,0.0648617246482741,0.223254996248813,0.424070969247143
dep_t,1957,0.272827625205378,0.0547751165096972,0.194459575281978,0.364873163907876
dep_t,1958,0.260207103127467,0.0505284599996652,0.187371441559961,0.346720716056153
dep_t,1959,0.22882698827664,0.0445233530732212,0.165005722251643,0.303094236677622
dep_t,1960,0.227687081456499,0.0452020045067035,0.160874721578717,0.304509635552208
dep_t,1961,0.235454832342414,0.047160729243104,0.166449734740123,0.314178830696619
dep_t,1962,0.227243338619284,0.0443619867978304,0.162189676917167,0.304676065256028
dep_t,1963,0.232966894287657,0.0449283820495703,0.166054809692763,0.306555923263115
dep_t,1964,0.238279860592686,0.0454622858180156,0.171670340330779,0.317059741068647
dep_t,1965,0.256884352276272,0.0502790274095069,0.184590735148523,0.341809881631433
dep_t,1966,0.304922625737619,0.0610703983510146,0.215542119668216,0.41086207047467
dep_t,1967,0.30159707523155,0.0610755115402895,0.212541297337272,0.40228700243469
dep_t,1968,0.288250784127617,0.0582567592495968,0.203906711882581,0.390989559015773
dep_t,1969,0.321973812908143,0.0626654483010586,0.227747736934948,0.428827126237845
dep_t,1970,0.385153587029934,0.0765378177630898,0.273764483188421,0.514047498870795
dep_t,1971,0.392894790053097,0.0758773763730581,0.281764874856028,0.521284312562646
dep_t,1972,0.451469198955039,0.0881519486326005,0.322236077328008,0.60587608256611
dep_t,1973,0.485757719043227,0.0971365004700902,0.347388390150174,0.647321641777385
dep_t,1974,0.492639341719993,0.0987620405080217,0.348959250843978,0.657538965502562
dep_t,1975,0.604237166047133,0.122245979847429,0.431067998879008,0.81369862107756
dep_t,1976,0.754124245631603,0.148247826162132,0.540130098630673,1.00906222401474
dep_t,1977,0.754791561495094,0.154669672211075,0.533813324780498,1.01504481475898
dep_t,1978,0.687037166464167,0.141343088309594,0.485798768292633,0.93189813909479
dep_t,1979,0.678839175205231,0.134762292762782,0.487787658840983,0.906668575528952
dep_t,1980,0.774788938234307,0.15328355116322,0.553266771717413,1.04265560737722
dep_t,1981,0.876312244828783,0.174520041567527,0.627224428566117,1.1695767959135
dep_t,1982,1.04103601366055,0.212535847327524,0.730754593525062,1.39625496812191
dep_t,1983,0.949754693375274,0.186111134957697,0.674531280591024,1.26497614952994
dep_t,1984,0.95214577811033,0.187587528892544,0.676623307076267,1.27403427911866
dep_t,1985,0.915980196053856,0.180532756941458,0.661003495108839,1.22612690690643
dep_t,1986,0.840859777238308,0.163865471356151,0.608210961031696,1.12016281890403
dep_t,1987,1.13107136514153,0.22819512979408,0.801895869937156,1.51298424792213
dep_t,1988,0.933996329200075,0.181705342123885,0.667364665483805,1.23500827561181
dep_t,1989,0.996964042238887,0.196429131451778,0.714732734539365,1.3325868219191
dep_t,1990,0.934963593519328,0.177468628285204,0.675525506540529,1.24026698612108
dep_t,1991,0.874618696506011,0.162691117838308,0.634699147104626,1.15087431132729
dep_t,1992,1.01567377320771,0.189496628039949,0.742060541303747,1.3400843861225
dep_t,1993,1.14574612848516,0.218562189955306,0.814557097905461,1.51337409172606
dep_t,1994,1.20302176967341,0.229447193336792,0.848116248365302,1.58886809352954
dep_t,1995,1.25188596553147,0.241508858105338,0.912969757146853,1.68053509903112
dep_t,1996,1.31507115366985,0.253455994782193,0.948821370676125,1.74711541190763
dep_t,1997,1.25157570922186,0.246165484003932,0.894444340131252,1.67700611055536
dep_t,1998,1.14403311022847,0.221266465584096,0.825641054200819,1.52039805890658
dep_t,1999,1.0913642062236,0.207149189090237,0.782636914517617,1.43613568991172
dep_t,2000,1.06820372240873,0.202930125253315,0.772791435102131,1.41169708880644
dep_t,2001,1.05560827741664,0.208785972980176,0.76417636571326,1.41832107650362
dep_t,2002,1.0794941458677,0.22062642391415,0.764275827134612,1.46563942053048
dep_t,2003,0.991867950284475,0.185283962656761,0.721173766614995,1.31698666329432
dep_t,2004,1.07551895037446,0.210439336002861,0.756475997870711,1.42576910131892
dep_t,2005,1.05681451835682,0.197575074860048,0.768788467630352,1.38779426983512
dep_t,2006,1.25541317401037,0.236441403165312,0.904238817689428,1.63240414040882
dep_t,2007,1.36480201509929,0.263324578960571,0.992605953102682,1.82755926339882
dep_t,2008,1.37567695604258,0.260507622752952,1.00035754971359,1.82248916762141
dep_t,2009,1.44394489733044,0.271113977858492,1.04877379882232,1.90837122677856
dep_t,2010,1.5646384692339,0.279607293075171,1.15108933611466,2.03241097585634
dep_t,2011,1.56793754305385,0.29331214791166,1.13591836360289,2.06654963125344
dep_t,2012,1.48268043000627,0.283976438164488,1.05431293448471,1.95778057790684
dep_t,2013,1.49856590016704,0.268543628579845,1.10219758123952,1.94730027603706
dep_t,2014,1.51483242615352,0.294341295671072,1.07427260267375,1.99608281107923
dep_t,2015,1.27586205034568,0.253024689364629,0.907185527251178,1.70247631963399
dep_t,2016,1.0079182713939,0.283733438930707,0.624196413364907,1.49701908502893
dep_t,2017,0.815681430768018,0.245555715978384,0.489492658777774,1.25105157714124
dep_t,2018,0.67377500686429,0.196218167483303,0.408148216311345,1.01326972829199
dep_t,2019,0.545325812219945,0.111633961668303,0.386189412192648,0.729000725197762
growth_t,1951,0.0722870653569562,0.0138999085404371,0.0507952657016226,0.0955361776571762
growth_t,1952,0.0784535526184129,0.0136035506936636,0.0587462613902297,0.101710205997442
growth_t,1953,0.0709185926445921,0.0128071984244451,0.0519798332073414,0.0931971712054851
growth_t,1954,0.070970793913555,0.0127505890185277,0.0525001747668043,0.0924623936805334
growth_t,1955,0.0720653009067631,0.013216927356197,0.0526002326276276,0.095042941666145
growth_t,1956,0.070938164398389,0.0130423654859116,0.0515684660873095,0.0926201959539501
growth_t,1957,0.065402563904441,0.0125973785180017,0.047077506010613,0.0878914827448213
growth_t,1958,0.0635694062611886,0.0122764712100932,0.0459215766839303,0.0845113661242564
growth_t,1959,0.0583906461387421,0.0117306004275993,0.0418603665907016,0.0789244618543823
growth_t,1960,0.0581112145550161,0.0115634971522724,0.0413029429498555,0.0769817674818152
growth_t,1961,0.0593836701345434,0.011413167124527,0.0422861662043787,0.0795946900122579
growth_t,1962,0.0580435704565062,0.0113696404910542,0.0416897446944581,0.0783306189215562
growth_t,1963,0.0590743278183126,0.011507466692815,0.0426718117888414,0.0785867236696551
growth_t,1964,0.0600285737213961,0.0117866205762758,0.0434757865912019,0.0808235997263082
growth_t,1965,0.0630323822791414,0.0122145188889303,0.045661575232927,0.0845005815203325
growth_t,1966,0.0696741483810054,0.0128378666203999,0.0508203868705267,0.0916147894090528
growth_t,1967,0.069226749163637,0.0127999659241817,0.0503603098637267,0.0910968441935702
growth_t,1968,0.067449099296791,0.0122812759931102,0.0499091504250287,0.0888305461076484
growth_t,1969,0.0717585691549972,0.0128841519752043,0.0531686353620763,0.0936510172985886
growth_t,1970,0.0773761681890804,0.013328942073092,0.0575603982908369,0.100159568954865
growth_t,1971,0.0779714898116494,0.013120742321518,0.058565875952803,0.100208618689673
growth_t,1972,0.0804081359507385,0.0132969996674901,0.0608264002588354,0.102813614231877
growth_t,1973,0.0806812228415983,0.0145242364653993,0.0601325468708264,0.104527889424019
growth_t,1974,0.0806503218615258,0.0145840294464853,0.0594191692002242,0.104547151604218
growth_t,1975,0.0755084868290733,0.0199004682475566,0.0454414933985783,0.103275257540634
growth_t,1976,0.0553577399019677,0.0337145520447404,-0.00325054612244693,0.0951301557342384
growth_t,1977,0.0546611928192752,0.0368881638322338,-0.00481373914247707,0.0958403545687136
growth_t,1978,0.0658410068436988,0.0274844730134861,0.0205717425574195,0.100514924173577
growth_t,1979,0.0674647350087446,0.0258836335248499,0.0252386268228425,0.101162516111688
growth_t,1980,0.0513364634270156,0.0370447169435234,-0.0137356039005461,0.0948935794584061
growth_t,1981,0.0276668647937352,0.0528084179764951,-0.0649225928073333,0.0868455659526654
growth_t,1982,-0.0283533427238262,0.0910511260618176,-0.186862625569456,0.0708734937898631
growth_t,1983,0.00632602369226655,0.0642153383712026,-0.103646693887596,0.081150960182129
growth_t,1984,0.00441646703297338,0.0677145920027315,-0.115358094460941,0.0804879130046221
growth_t,1985,0.0163337680132906,0.0597682974080892,-0.0876786346055458,0.0835449512153717
growth_t,1986,0.0372288869906672,0.0454552044399276,-0.0446385692010341,0.0902787659239584
growth_t,1987,-0.0646783012127784,0.111749251193768,-0.255138721411017,0.0585805589262661
growth_t,1988,0.0116006538849689,0.059864883045758,-0.091662870864132,0.0825595247335858
growth_t,1989,-0.00961483333524413,0.073460429880735,-0.14598931689022,0.0743143010473142
growth_t,1990,0.0115625579311247,0.058323379550441,-0.0952078740176316,0.0818868387143417
growth_t,1991,0.0295915343658186,0.0473678725900669,-0.054924155611171,0.0883105966584366
growth_t,1992,-0.0151760710888104,0.0736775453546071,-0.149094865423586,0.0700587337069483
growth_t,1993,-0.0691155018621935,0.105017914158972,-0.251651640171955,0.0515725990156436
growth_t,1994,-0.0955263259164998,0.114715356346874,-0.295682969885109,0.0440384454768806
growth_t,1995,-0.120485608561106,0.133650380543128,-0.364839996876781,0.0281047489850301
growth_t,1996,-0.155387828922082,0.149815567229659,-0.430124391985473,0.0154929144069093
growth_t,1997,-0.121528178782168,0.135157908803635,-0.366062426204706,0.0338127836466028
growth_t,1998,-0.0679066950910542,0.106037776072076,-0.258958688109645,0.0528220142669311
growth_t,1999,-0.0450616110115066,0.0901557461561554,-0.206656113594706,0.0595790699179755
growth_t,2000,-0.0358419782759819,0.0874906969624605,-0.188991899917659,0.0624649993580586
growth_t,2001,-0.0317722621305307,0.0874760775374355,-0.188284394657085,0.0635193641613646
growth_t,2002,-0.0426077144585425,0.100443456342511,-0.220434079123911,0.0642595640512418
growth_t,2003,-0.0061677568118626,0.0676762737497002,-0.128121544512354,0.075174424910391
growth_t,2004,-0.0391275001197145,0.0881234394804362,-0.189024487224302,0.065105758929324
growth_t,2005,-0.0301741100218316,0.0811080988996555,-0.175299061667526,0.0643764024365973
growth_t,2006,-0.120704759462218,0.127566528719342,-0.341526897492343,0.0312315844733098
growth_t,2007,-0.182541042286086,0.158716603257505,-0.468223360415609,0.00276842909117086
growth_t,2008,-0.188153558275067,0.156129820693743,-0.472497392131053,-0.000138341985274372
growth_t,2009,-0.231691793217188,0.177942383386116,-0.543920094460357,-0.0163500664222241
growth_t,2010,-0.31146161195693,0.194356984262488,-0.662256220529996,-0.0624914655306662
growth_t,2011,-0.316688085026175,0.212977550176772,-0.702298775579439,-0.055084535152616
growth_t,2012,-0.257143187507569,0.187316361394616,-0.589860531149707,-0.0201295920991852
growth_t,2013,-0.26568204947946,0.180152034660116,-0.582031840959963,-0.0394567024015447
growth_t,2014,-0.281751756672349,0.206795425556387,-0.678908687267398,-0.0296822010522479
growth_t,2015,-0.134705647376561,0.143261195730858,-0.383122989729861,0.030393535187896
growth_t,2016,-0.0280633711751868,0.129354507569632,-0.255510799729656,0.0839851983741046
growth_t,2017,0.0309070054140087,0.0830465410869621,-0.101499790005669,0.0946732503211246
growth_t,2018,0.0610412991621312,0.0430280388973766,-0.00451982100385215,0.0991651230182011
growth_t,2019,0.0791592233113072,0.0164931328003275,0.054898648888588,0.104160627894412
index_hat_t,1951,1012852.14183356,479266.218129378,490003.720429819,1911243.21895751
index_hat_t,1952,596448.80720498,299859.448713562,266680.569711902,1143813.84163463
index_hat_t,1953,475588.868852214,247082.482894185,213509.265639595,924429.834769479
index_hat_t,1954,476477.280461064,254135.567815906,214579.764105104,902205.818750228
index_hat_t,1955,496465.513659328,265264.816775365,214817.6057868,990083.021465834
index_hat_t,1956,481225.750826777,253983.636806916,203328.718576684,944247.722994162
index_hat_t,1957,414022.952536548,217974.008788079,176548.201347051,795994.986044528
index_hat_t,1958,393849.057024239,201347.471553274,170910.370269118,762407.461660742
index_hat_t,1959,346129.184960133,177389.735682918,153855.864789668,683663.758677777
index_hat_t,1960,344731.273655071,178089.43733983,149356.683333419,677012.122294619
index_hat_t,1961,356690.484677977,184637.452049458,156571.974516006,697632.921813194
index_hat_t,1962,343797.099658151,175797.776923235,152281.916749767,675111.663923279
index_hat_t,1963,352634.359517643,181549.792835832,158740.237390063,669693.970065382
index_hat_t,1964,362147.742878081,190512.263188486,157432.803427061,718207.43183313
index_hat_t,1965,389705.937060425,203856.969374791,168089.346636835,762219.528724782
