variable,year,mean,sd,lower,upper
b_t,1951,350938.029932733,259825.680081027,155926.300165378,756978.166764623
b_t,1952,348012.314266796,274030.432657574,150224.254005773,743090.747405322
b_t,1953,335663.692995688,263246.40261389,138964.521183027,724786.527623735
b_t,1954,399764.498435139,319717.186883478,166216.628505437,833891.30105841
b_t,1955,407079.593200705,332886.947343325,168372.361159096,858199.062853197
b_t,1956,452704.270247323,352729.490663184,185464.505514106,955446.58914063
b_t,1957,380352.945908581,296060.242819082,155469.516630859,800770.612947498
b_t,1958,361083.552743394,280730.795159153,151535.179291538,786075.584770915
b_t,1959,318167.327698073,247588.722298749,130274.175052021,683191.494947563
b_t,1960,345629.459348342,270058.843179661,144828.459410283,719655.991181785
b_t,1961,404333.518769568,309305.011045678,167941.131895493,871432.470424208
b_t,1962,393462.297341052,308011.551364524,160957.408370761,858840.481970594
b_t,1963,377587.275090681,298748.849006739,151880.94429978,814721.196872897
b_t,1964,352907.886008908,280567.741803591,144267.083349691,765301.011078877
b_t,1965,346625.904496746,264893.552585524,144303.829662409,741332.087632764
b_t,1966,339833.868121104,264033.175558721,143149.067727462,741301.304611581
b_t,1967,312183.507554678,239668.649914923,131509.309257439,649192.932474861
b_t,1968,287193.776848316,224509.719419651,119356.149688566,618181.758484455
b_t,1969,355528.825212611,273039.152957454,147065.689817029,742238.311560916
b_t,1970,490764.323995521,358253.030372806,204346.251214662,1064572.77593825
b_t,1971,453691.785520885,345672.684998536,193130.576500995,971685.082487607
b_t,1972,432588.471122216,341013.108888915,182609.664855006,934590.224765335
b_t,1973,428797.214549071,328003.979276897,178435.786683835,933711.003065569
b_t,1974,431162.09355787,330786.646441716,180742.745355342,918796.78732675
b_t,1975,539999.126942987,432380.442813916,227166.06157801,1154996.8186133
b_t,1976,592819.774436521,484253.240837731,243498.467987985,1260481.94168172
b_t,1977,488182.660949348,365512.223876121,203837.353249638,1080176.77541603
b_t,1978,393632.933318038,307779.490093663,162255.856929109,862951.858104674
b_t,1979,413167.678966077,319396.593308532,172977.458625053,908300.354764362
b_t,1980,462902.210769076,351035.844771293,194911.589425688,1009831.54279114
b_t,1981,463586.698322965,360557.519552805,194154.424395284,981932.498910532
b_t,1982,426458.175541873,330433.892171686,175276.998352894,931146.058454304
b_t,1983,438134.602778238,339790.291764862,183071.440811012,915112.33333763
b_t,1984,492341.040367012,386156.842041539,209582.904490753,1035775.38167194
b_t,1985,535417.796532251,418226.945615526,222965.921722894,1103325.86279439
b_t,1986,523986.713044342,410172.566098229,218022.017303452,1085093.49771037
b_t,1987,585242.639463699,473407.538461645,242194.459617759,1271569.34837475
b_t,1988,440665.194758769,326412.059780907,187274.6856534,944778.512168128
b_t,1989,474756.215204354,361484.299817628,200337.639970957,1005353.6584485
b_t,1990,479518.991337446,376004.306051496,201056.877592501,1024005.78454134
b_t,1991,450961.955072587,356930.981318007,190421.352479204,960055.005377177
b_t,1992,512653.366911441,412585.99590556,217821.826908209,1091035.57727459
b_t,1993,506193.119369162,389426.53244176,212515.014588358,1092711.21761342
b_t,1994,475724.033276416,363789.428293342,201351.343003338,1043363.31255805
b_t,1995,465839.976704265,349479.25848225,193827.90974766,1012962.94338369
b_t,1996,472975.104498732,374444.486388582,197823.729434054,987600.969036007
b_t,1997,469311.994161396,373936.22979513,195900.138640383,975242.793301604
b_t,1998,390516.882302842,307595.892838802,164844.68074656,836302.839570289
b_t,1999,425877.698023526,328619.887497408,179378.174849123,928590.312844503
b_t,2000,353717.630951347,279058.597305201,149623.123565478,771089.002461838
b_t,2001,293888.354128206,225027.184468519,123518.870397566,640281.95611137
b_t,2002,274539.730604622,209307.322647026,114921.432958879,586143.605488938
b_t,2003,252878.63303248,193902.924923648,106743.904112624,534990.800095983
b_t,2004,243696.955526688,187676.944376907,103915.737375203,499193.896652272
b_t,2005,248404.162382323,183989.367109381,108338.494580703,519861.251537114
b_t,2006,345723.107948164,258851.778282884,148326.116238081,725944.62196752
b_t,2007,493678.117584994,371895.962906335,213555.951234966,1034031.32476846
b_t,2008,484020.975127743,368788.337854696,201271.803213384,1030894.27883022
b_t,2009,457377.099013587,351377.364053682,191852.882097794,957991.713187366
b_t,2010,395438.043062307,294594.067867006,163332.052167298,869235.085388892
b_t,2011,301057.987295575,232573.624713716,125307.590454655,668861.55094998
b_t,2012,332719.882553667,262699.38343901,143096.435161573,708427.014897253
b_t,2013,343877.849626673,272450.887919661,146901.777130351,738950.764569344
b_t,2014,280573.955572231,225459.523953572,116911.455110112,613331.903471346
b_t,2015,245127.115375017,192445.455232706,102676.47144772,534334.195598972
b_t,2016,264927.166226802,210146.641910004,100337.760356809,595170.334766037
b_t,2017,279838.514822218,226614.938198706,98922.2674711512,650849.654708279
b_t,2018,278395.219458079,236058.820943037,97938.1937904624,653745.377143489
b_t,2019,263948.190069755,216511.432201848,100877.534363397,602049.277735227
bmsy,1951,226991.193488408,162427.53825168,106734.706211656,464571.290766289
ck,1951,0.00443641159412233,0.00178089052606322,0.00172201773121634,0.00749522070151763
ck,1952,0.00554551449265291,0.00222611315757903,0.00215252216402042,0.00936902587689704
ck,1953,0.00554551449265291,0.00222611315757903,0.00215252216402042,0.00936902587689704
ck,1954,0.00887282318824466,0.00356178105212645,0.00344403546243268,0.0149904414030353
ck,1955,0.00693189311581614,0.00278264144697379,0.00269065270502553,0.0117112823461213
ck,1956,0.00998192608677525,0.00400700368364225,0.00387453989523676,0.0168642465784147
ck,1957,0.00887282318824466,0.00356178105212645,0.00344403546243268,0.0149904414030353
ck,1958,0.00831827173897937,0.00333916973636854,0.00322878324603063,0.0140535388153456
ck,1959,0.00831827173897937,0.00333916973636854,0.00322878324603063,0.0140535388153456
ck,1960,0.00915009891287731,0.0036730867100054,0.0035516615706337,0.0154588926968801
ck,1961,0.0119228561592038,0.00478614328879491,0.00462792265264391,0.0201434056353286
ck,1962,0.0152501648547955,0.00612181118334233,0.00591943595105616,0.0257648211614669
ck,1963,0.0135865105069996,0.00545397723606862,0.00527367930185003,0.0229541133983978
ck,1964,0.0127546833331017,0.00512006026243177,0.00495080097724697,0.0215487595168632
ck,1965,0.013309234782367,0.00534267157818967,0.00516605319364901,0.0224856621045529
ck,1966,0.0152501648547955,0.00612181118334233,0.00591943595105616,0.0257648211614669
ck,1967,0.0166365434779587,0.00667833947273709,0.00645756649206127,0.0281070776306911
ck,1968,0.0155274405794282,0.00623311684122128,0.00602706205925718,0.0262332724553117
ck,1969,0.0202411278981831,0.00812531302516346,0.00785670589867454,0.0341969444506742
ck,1970,0.0242893534778198,0.00975037563019615,0.00942804707840945,0.0410363333408091
ck,1971,0.020962044782228,0.00841470773564873,0.00813653377999719,0.0354149178146708
ck,1972,0.0187715665576301,0.00753539303840501,0.00728628752520913,0.0317141525932965
ck,1973,0.0193261180068954,0.00775800435416292,0.00750153974161117,0.0326510551809862
ck,1974,0.0206376321844078,0.00828448011593036,0.008010611233402,0.0348668298008723
ck,1975,0.0307249230465435,0.0123337799495666,0.0119260490497551,0.0519090878709481
ck,1976,0.0283708521444123,0.0113887949141743,0.0110123033911285,0.0479319363862053
ck,1977,0.0241091242568085,0.00967802695257483,0.00935809010807878,0.0407318399998099
ck,1978,0.0257977334198214,0.0103558784090576,0.010013533107023,0.043584708379325
ck,1979,0.0279050289270295,0.0112018014089377,0.0108314915293508,0.0471449382125459
ck,1980,0.0308857429668304,0.0123983372311364,0.0119884721925117,0.0521807896213781
ck,1981,0.0315096133472539,0.012648774961364,0.012230630935964,0.053234805032529
ck,1982,0.025284773329251,0.0101499629419816,0.00981442480685112,0.0427180734857121
ck,1983,0.0325715793725969,0.0130750756310404,0.0126428389303739,0.0550289734879548
ck,1984,0.0371189012565723,0.0149004884202552,0.0144079071048707,0.0627115747070104
ck,1985,0.0485953434991175,0.019507429599865,0.018862551723311,0.0821007737592488
ck,1986,0.0610866148938182,0.0245217494873118,0.023711107897767,0.103204504546959
ck,1987,0.0516204216548597,0.0207217743273244,0.0200367525637841,0.0872115773750961
ck,1988,0.0450351231948343,0.0180782649526993,0.0174806324940098,0.0760858591462809
ck,1989,0.0463937742455343,0.0186236626763062,0.0180080004241948,0.0783812704861207
ck,1990,0.0446552554520876,0.0179257762014051,0.0173331847257744,0.0754440808737134
ck,1991,0.0524411577997723,0.0210512390746461,0.0203553258440591,0.0885981932048769
ck,1992,0.0524439305570186,0.0210523521312249,0.0203564021051411,0.0886028777178153
ck,1993,0.0578757620025721,0.0232328299690735,0.0224647975647991,0.097779838564236
ck,1994,0.0546454998106018,0.0219361190547838,0.0212109534042572,0.0923223809909435
