variable,year,mean,sd,lower,upper
b_t,1951,138933.649443415,61051.7578281234,74276.6926799703,249096.853290762
b_t,1952,104466.909962564,52144.674716512,49778.7428527094,197440.716404828
b_t,1953,86673.4474100357,43141.6565314813,39311.0805973581,162994.612495396
b_t,1954,81648.8961405425,40795.6242103933,36928.0616841539,153616.134383692
b_t,1955,83265.1324381551,41064.1563081858,38234.3534648772,158980.139228611
b_t,1956,80115.5943353595,39689.4003288735,36760.9958426428,155360.406617048
b_t,1957,74914.4834838844,36938.6141062955,35345.1352821112,142290.850778728
b_t,1958,90141.6169512928,45931.5099011724,42002.0011276843,171608.26555881
b_t,1959,91618.6039672662,45872.6991094673,42864.5881435912,172659.13113969
b_t,1960,120923.013025395,58740.9876107074,57419.1948438439,230605.939511957
b_t,1961,137363.908478598,67675.6007286289,64696.0471688377,262941.843170027
b_t,1962,151839.713424103,75009.0053442562,72294.849627589,286416.886055109
b_t,1963,161252.643961819,78781.2618475286,75876.8380931226,300379.028573422
b_t,1964,168317.154747112,83783.0655899788,78189.9999480872,318698.322360207
b_t,1965,169466.635690218,83105.679449282,78551.6434805231,327141.364169425
b_t,1966,172979.259599851,85513.0954640385,82777.1104063406,329130.554587545
b_t,1967,163730.441556913,81086.7405422666,76979.3500906678,311189.148158847
b_t,1968,133470.301125688,65359.6693877912,63977.3595830314,251425.280468355
b_t,1969,130912.929069821,64438.4569069015,61841.5737180163,247281.760525588
b_t,1970,171211.500648068,84770.2339514273,81470.1357549964,314587.128937716
b_t,1971,177902.577969346,89992.7715231708,82201.7059070894,354643.107795501
b_t,1972,183168.241123377,90438.5885874755,86367.126250808,351705.927253672
b_t,1973,172547.225019928,83834.0976755036,80814.341836703,326831.205168934
b_t,1974,162086.634560784,77156.8368069265,79203.2374548079,308358.080120835
b_t,1975,178794.941423073,85942.5802062889,87402.9191435747,340566.807784417
b_t,1976,202432.001173125,99938.4551030356,99223.2462211992,380736.652194521
b_t,1977,198993.237099845,98866.730395917,95308.6578858691,373523.890115849
b_t,1978,174306.562651801,84519.7432249806,84870.5061724265,337332.127508153
b_t,1979,243173.002891276,118005.962060334,114745.443681831,470020.288025924
b_t,1980,181879.416905329,88735.4914961707,88313.2876632277,340720.199214573
b_t,1981,176130.490096771,88420.2705971266,83155.2560121445,335167.031683709
b_t,1982,198361.619112435,94095.6489549167,94729.3768744041,366647.946048412
b_t,1983,188126.317129076,89510.5019191,92233.5279310625,359520.792083954
b_t,1984,189613.464576467,97031.3382603942,89536.4105573942,364030.877155313
b_t,1985,171107.749578588,86195.6145035114,79696.8348927717,322366.050650262
b_t,1986,159553.119886583,75416.72370931,77752.3183241508,292663.780968617
b_t,1987,189753.485914743,92712.8577305553,92283.8649066909,350886.138619906
b_t,1988,174848.767621217,90639.9318982528,81516.1402426689,334947.801456968
b_t,1989,158197.807092832,77448.3508518354,74341.2076833438,292271.636783523
b_t,1990,162328.332351875,78556.7787233014,75876.749981656,300999.175083236
b_t,1991,146187.654520536,71291.7800123965,68295.3255829633,274536.823310717
b_t,1992,168459.248894477,83866.994655709,78298.8084860818,318095.792226265
b_t,1993,145442.81904236,69571.1534543713,67530.7034871757,268930.929089728
b_t,1994,119602.329971668,61178.2856967991,55280.9171048475,224643.810001181
b_t,1995,105007.425325112,51447.7521213309,48817.8219236702,191271.265576256
b_t,1996,97066.2313094383,48273.393833416,45396.7833524702,182686.009183915
b_t,1997,87707.8341512567,44824.340432289,41301.8902785266,165434.086869375
b_t,1998,75874.6563407592,38205.4558614669,34926.8280751374,143574.589267896
b_t,1999,70862.4588790905,35918.0370043751,34071.584559965,133283.290164728
b_t,2000,60422.7288865198,30930.2220668882,28481.4580928828,113890.138578853
b_t,2001,52869.9802082307,25695.7765295208,25415.1678754008,98947.5492797994
b_t,2002,52482.6843013254,26949.5838908961,23832.1773678228,101523.239024254
b_t,2003,43068.9889111296,21935.6423593947,20008.8975997219,81917.3580810401
b_t,2004,41739.6280174442,20729.1355926029,19633.8244138782,79446.9159480906
b_t,2005,38464.127558242,19048.5165373514,18096.1831449936,74150.003822874
b_t,2006,51129.4886443146,25736.8229953995,23747.730143149,97860.61895045
b_t,2007,56975.0781025562,27899.6501401993,26847.8538827133,106462.155998954
b_t,2008,55066.4275331209,27116.2992448442,26049.4310829687,101561.380237452
b_t,2009,56565.6589383983,27670.0543552168,26986.8771000204,104887.639236951
b_t,2010,61164.1991110878,29893.6370021717,29212.3463127484,115110.275578879
b_t,2011,65265.399653154,31845.5615582276,30344.2771174089,120451.148214745
b_t,2012,60286.2464459028,29598.3043576118,28099.7121168975,113457.647448235
b_t,2013,67554.8280343962,33171.3860834822,31576.5204816876,124527.025716337
b_t,2014,83027.4204279114,41088.310802642,39281.0747414662,152874.252751503
b_t,2015,274825.344331998,139892.171042878,129189.842158312,528905.384246414
b_t,2016,159141.29113619,87906.5720588134,70759.9287875339,306801.650788298
b_t,2017,131251.54908758,70226.9050317373,63852.1492978968,258857.243581609
b_t,2018,104761.552412014,61404.4986096837,48197.6590339835,213588.07145404
b_t,2019,79652.12388143,42765.060285477,34762.6907779724,156379.264513158
bmsy,1951,83903.8354996166,35284.9107606198,45538.2226255482,147002.692338172
ck,1951,0.00204699266254504,0.000706636813810389,0.00102038959593516,0.00329393696914566
ck,1952,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1953,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1954,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1955,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1956,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1957,0.00136466177503003,0.000471091209206926,0.000680259730623443,0.00219595797943044
ck,1958,0.00204699266254504,0.000706636813810389,0.00102038959593516,0.00329393696914566
ck,1959,0.00204699266254504,0.000706636813810389,0.00102038959593516,0.00329393696914566
ck,1960,0.00341165443757507,0.00117772802301732,0.00170064932655861,0.0054898949485761
ck,1961,0.00341165443757507,0.00117772802301732,0.00170064932655861,0.0054898949485761
ck,1962,0.00545864710012011,0.0018843648368277,0.00272103892249377,0.00878383191772176
ck,1963,0.00545864710012011,0.0018843648368277,0.00272103892249377,0.00878383191772176
ck,1964,0.00614097798763513,0.00211991044143117,0.00306116878780549,0.00988181090743698
ck,1965,0.00614097798763513,0.00211991044143117,0.00306116878780549,0.00988181090743698
ck,1966,0.00750563976266515,0.00259100165063809,0.00374142851842894,0.0120777688868674
ck,1967,0.00887030153769518,0.00306209285984502,0.00442168824905238,0.0142737268662979
ck,1968,0.00750563976266515,0.00259100165063809,0.00374142851842894,0.0120777688868674
ck,1969,0.00614097798763513,0.00211991044143117,0.00306116878780549,0.00988181090743698
ck,1970,0.00709624123015615,0.00244967428787602,0.0035373505992419,0.0114189814930383
ck,1971,0.00750563976266515,0.00259100165063809,0.00374142851842894,0.0120777688868674
