variable,year,mean,sd,lower,upper
b_t,1951,12300.786621222,1410.96948025155,10304.3371109577,14717.2225126153
b_t,1952,12434.9255697133,1918.14503574334,9991.84798517598,16061.6099389465
b_t,1953,14576.7029200476,1407.8642134291,12548.0878026812,16946.687982217
b_t,1954,13470.6067962047,1806.65166212886,10998.1871903198,17008.310571116
b_t,1955,14450.3954560641,1338.65730600466,12336.6806334919,16559.8295371139
b_t,1956,13495.8085962403,1720.04749907122,10881.4763627664,16400.4827079257
b_t,1957,13569.2844920015,2066.8827781826,10572.149446983,17125.5736409235
b_t,1958,12965.8201804644,1801.35488116096,10005.2449443039,15796.4255719345
b_t,1959,12010.5210812965,2157.87235866189,9342.91320259251,15910.1491539568
b_t,1960,10748.5185950241,1537.26428119752,8512.08077635115,13535.5652692671
b_t,1961,9849.78765457663,1431.18144722079,7805.55196606347,12258.4974324043
b_t,1962,7639.84092600345,1377.75727479294,5791.94102603461,10081.8588334762
b_t,1963,7698.04490909325,1268.16293847027,5894.92538059925,9924.03818191426
b_t,1964,6837.43557817569,982.795357761287,5381.86864619954,8509.83876708425
b_t,1965,7639.55869710029,1137.07274915504,6029.84777614203,9705.70154497639
b_t,1966,6718.44379324453,1036.02871531346,5080.04857386189,8470.49377481005
b_t,1967,6351.87267557811,982.024440233055,5139.97708354527,8275.95160381753
b_t,1968,5456.7635552459,803.455108441027,4242.06987549888,6784.76295696346
b_t,1969,6796.23065574421,942.729655619255,5400.86450313852,8517.24293540823
b_t,1970,8924.6515930155,1481.26375793233,6721.54856092567,11348.6174468593
b_t,1971,9914.55136542943,1436.10119692149,7898.53252547022,12258.0231082134
b_t,1972,11205.3394230401,1609.4946510366,9136.72995332354,14165.8610525736
b_t,1973,12645.4997449598,2331.03491606359,9999.15395631478,17563.2032837561
b_t,1974,10555.0222948177,1730.32208757297,8167.29529609975,13363.048840047
b_t,1975,10252.0965747685,1593.48664938816,8044.9815447751,13082.1231971637
b_t,1976,9966.3411428426,1340.43143007319,8085.50864792264,12244.3478595395
b_t,1977,8199.31304642702,944.126895416299,6882.80500149272,9732.70061203683
b_t,1978,7805.5681741723,1123.50694387415,6220.73690797019,9850.84084071045
b_t,1979,7758.0927620984,1025.42054831363,6240.92410402668,9534.57298807002
b_t,1980,8643.3408267637,1177.84344274023,6965.22922071368,10930.2785015121
b_t,1981,8437.3807817355,1246.61166449759,6724.31013992182,10750.8507105119
b_t,1982,8719.13610487843,1212.6818897201,6957.25139315277,10946.031436
b_t,1983,9658.01970778145,1403.43839820501,7685.5135488739,12261.8095342197
b_t,1984,10076.4800874837,1449.08175729892,7786.0420068776,12464.7798990727
b_t,1985,9092.88448614109,1191.06834851057,7184.27508586128,10965.6887067685
b_t,1986,11470.1363486331,2132.90806017831,8888.76801233969,15967.266920826
b_t,1987,16077.9583539106,3784.987516473,11719.232390785,23935.5017042218
b_t,1988,13150.7494701008,2039.63655412411,10070.680958384,16524.5242231554
b_t,1989,13379.5948768718,2060.62152471564,10352.1298700796,16618.9650178204
b_t,1990,13492.6291755158,1815.38937425294,10889.6004030649,16267.1985550948
b_t,1991,13033.5543584765,1999.41680542374,10544.1543239381,16884.5571725023
b_t,1992,10529.0095085645,1605.23174788514,8548.49822860679,13404.008389353
b_t,1993,7492.75676032895,942.360634079979,6217.65838774719,9114.92171524871
b_t,1994,5548.58624090511,627.617902966668,4459.66897197221,6478.27105486323
b_t,1995,4702.1028073357,536.230000004428,3988.93339752704,5718.35562950914
b_t,1996,5078.19759283722,761.96036247437,4166.81287023306,6548.17264881446
b_t,1997,4399.9498890018,637.874211128513,3510.6276799006,5481.97667606882
b_t,1998,3710.53828236873,588.201581743513,2965.5142070244,4758.0301856234
b_t,1999,3401.31486081103,568.386141138825,2628.95536068524,4418.90014853503
b_t,2000,3054.65947891689,432.455437057464,2476.36770140664,3753.39209670626
b_t,2001,2758.17357404823,370.092366483862,2238.36653661959,3458.42880101401
b_t,2002,2217.9211099832,267.615726115461,1827.78439710936,2660.93940959867
b_t,2003,1908.82551034669,281.692200107667,1522.53480380249,2417.37480633536
b_t,2004,1435.04746006194,186.586017303074,1181.62574587747,1760.07751436073
b_t,2005,1057.22447837736,118.168652256626,874.233303208228,1258.06510869155
b_t,2006,1285.09754509059,186.702560901828,1035.36509706418,1655.08995353606
b_t,2007,1049.57887852683,135.132793880563,868.808988162314,1290.97748449988
b_t,2008,1075.25952456871,118.690864104277,908.727582405674,1282.00833041013
b_t,2009,1022.25175374144,151.218147974375,805.566125668379,1266.80862198769
b_t,2010,953.477467751507,138.460320403006,781.84638529046,1215.56343882127
b_t,2011,803.258212787756,97.8303463534039,666.841216685485,983.724911233887
b_t,2012,768.20471610258,89.5482888575969,636.128373214823,928.433557420135
b_t,2013,883.751496778089,83.0560328137846,762.622798399671,1027.04017921263
b_t,2014,774.061526251023,87.5858588769814,652.298781340984,920.267616906925
b_t,2015,725.572364592499,98.2205778514858,579.329266403163,887.864512122444
b_t,2016,1097.61716492663,266.264672107568,735.667278350379,1558.66999992052
b_t,2017,1758.65725977508,454.172785358976,1172.58667079793,2597.74880634546
