variable,year,mean,sd,lower,upper
b_t,1951,525336.805893675,229674.402291778,252748.82762983,967675.306411543
b_t,1952,547312.951643642,353550.422532629,185647.314868295,1194244.11962061
b_t,1953,529524.133044441,398840.406493656,149497.823334702,1280405.10989921
b_t,1954,190526.018722655,123198.144882508,63487.2955991933,409711.911595456
b_t,1955,143288.54891067,91986.4518555815,47348.0154669416,315426.237462066
b_t,1956,112997.995068622,73048.4624799492,38210.9420773438,239907.58990655
b_t,1957,78885.4437637649,52506.4513084147,27363.7893351984,167454.688027599
b_t,1958,62526.0478948564,40853.7833860105,20879.6653444067,136374.72832749
b_t,1959,38603.3457678343,24092.7171092313,13332.0943103494,82151.7037578766
b_t,1960,46335.011257483,30622.9150103749,15158.0142557972,101037.974831245
b_t,1961,61708.4753926425,41604.8014820096,18714.1410502469,138530.982649639
b_t,1962,77569.2274241785,54270.178003453,25442.5564233224,175075.667463829
b_t,1963,93776.5569492688,64368.4368808924,29923.6123530031,207333.59839255
b_t,1964,132762.312281333,89885.7123458326,43054.8595827844,287146.136932123
b_t,1965,110278.278236973,73078.2794904554,36479.1148223435,243105.099525638
b_t,1966,80888.9007584909,52160.4798961071,27657.5761016763,182878.64224448
b_t,1967,73766.1251153842,49100.7306904593,23440.2130154132,163505.489354013
b_t,1968,52977.4038415473,35378.7505669641,17668.1379982517,114903.338335645
b_t,1969,62955.7523088728,42947.0079211096,21032.3992004504,136807.565177213
b_t,1970,75871.6728125337,50127.5820818791,25947.9290880675,162101.510805567
b_t,1971,75872.7535721749,50051.8239924118,23759.3102393715,160698.222267937
b_t,1972,88782.9016110536,57798.061272975,28422.113507912,195453.803201486
b_t,1973,84855.5442122269,56221.2188366563,27413.1168088176,189451.352936651
b_t,1974,98926.8810107809,64413.484496032,32695.9442862343,217791.868860651
b_t,1975,119432.346117475,78817.6938311996,38708.2100526202,266499.272260663
b_t,1976,135221.678397348,100340.10044869,39699.3156219545,305234.12490751
b_t,1977,108666.759227348,74350.3525549884,35717.7490273105,242356.16610279
b_t,1978,94909.2523931129,63018.1011016919,30531.0581540518,211748.446623544
b_t,1979,89391.0218859511,56881.1075652449,28614.0523777597,190668.865121654
b_t,1980,73769.1389784635,48695.6780022253,24051.3047886634,159419.419629347
b_t,1981,138721.050488565,95680.5059750771,43031.241770393,310243.298734118
b_t,1982,135978.166233396,90035.5231053095,46181.8436244208,293130.345229465
b_t,1983,148505.691967314,104660.527810436,48895.9211170554,326909.415488788
b_t,1984,166430.427855962,117173.309777943,54316.7277180143,361635.927718741
b_t,1985,205881.536342609,133138.631710843,70487.3442347145,455567.595519945
b_t,1986,282321.295994092,181774.51150259,90546.573707061,635433.474544375
b_t,1987,356090.506609491,272440.811736574,100875.176204552,811741.294359655
b_t,1988,185594.638350229,128263.707331575,55939.315098714,416869.193268264
b_t,1989,122497.882767767,83134.8762906961,39658.299908938,276386.663639074
b_t,1990,57618.9462025881,40394.0394659773,18159.1922557117,128024.988582082
b_t,1991,34962.0286084826,23218.9790555914,12224.6501449877,73503.7690328727
b_t,1992,37171.8914328324,24772.7058244676,12564.8009430081,85281.8862304351
b_t,1993,39384.8611076464,27107.7715353144,12580.6559499966,85291.8404774805
b_t,1994,35318.4159345964,24314.2652599291,11267.3568604185,79645.0290778037
b_t,1995,25559.5407650573,16516.0835995893,8235.23957719723,56637.7876689686
b_t,1996,22160.0300598885,14732.7443546971,7298.78824233809,47324.1619302972
b_t,1997,22269.9933687396,14667.640083829,7886.87525386225,48180.0991168838
b_t,1998,40784.0183041385,25605.8119583754,14399.4453221106,87832.6966496184
