variable,year,mean,sd,lower,upper
b_t,1951,261050.26997997,137987.812324763,118698.30505932,503192.070690752
b_t,1952,224630.850224892,133703.28273198,88570.6146064286,447689.013892783
b_t,1953,161145.267555068,96303.3865309173,63044.4055298758,329086.106950644
b_t,1954,130539.251290711,78938.634677204,51868.3982887941,261787.276547842
b_t,1955,172903.537912845,104363.764536996,67427.8269771096,347097.32798114
b_t,1956,202459.42286413,131284.037129709,78224.0453918094,417983.568041028
b_t,1957,156492.513348462,98028.4432568287,60456.7771546812,327134.9069664
b_t,1958,230830.073310837,134354.428929189,91323.710939532,464585.083672554
b_t,1959,213643.736778029,126441.655800027,85068.0152747344,429839.342757547
b_t,1960,236251.271566148,139121.476297211,94420.6819772669,465741.618673749
b_t,1961,202549.832916025,118944.906043178,80150.0044586037,405765.163707148
b_t,1962,215867.965609675,130480.046881276,85953.2604613503,443836.164717736
b_t,1963,183163.592245239,107345.642361769,71712.3259396814,370840.336900502
b_t,1964,188266.022896892,113537.784788338,74496.7083173918,377020.773377221
b_t,1965,169216.698502056,104154.261048127,66808.2871169759,347776.379187283
b_t,1966,156657.883655204,97251.3872881634,62086.4044211775,326165.0966753
b_t,1967,144929.010678211,89653.1393330745,56189.7207629537,296575.840719694
b_t,1968,129395.222875658,78520.2827200706,49730.978983381,269537.472139317
b_t,1969,122758.133785086,73123.4546176255,49622.9104706859,246154.926842327
b_t,1970,160118.166068505,99120.6918727,62732.449886315,321095.915371702
b_t,1971,164992.402991883,99608.3705635199,66021.1865353854,338164.851922098
b_t,1972,187842.066149372,121638.423418841,74768.8690554572,380690.139090067
b_t,1973,258184.325597347,154267.47289121,102511.608885485,523155.113983633
b_t,1974,362967.631857323,218521.791120608,147240.940904839,734663.390403348
b_t,1975,373796.893444944,231237.022665163,151173.1553232,747944.651408441
b_t,1976,373813.887616535,223581.878395539,149228.231249933,763974.95816403
b_t,1977,339035.125317514,204043.867607734,136319.532210862,699996.430975039
b_t,1978,263005.101164574,161290.648768045,107363.530045381,534192.792687331
b_t,1979,328694.473462776,196302.71870973,132203.488628835,667993.900277201
b_t,1980,312693.707275759,183852.731486972,125220.125369284,634807.557989696
b_t,1981,327641.900973087,202973.668657038,130190.249825969,677538.383441252
b_t,1982,281101.812527884,172047.150590769,113913.649636853,577976.082966623
b_t,1983,241353.459772627,148428.330297233,92296.4963290403,493452.937608808
b_t,1984,277711.13871403,165933.681939407,113886.742674098,545615.190691387
b_t,1985,289105.899090737,181159.301515343,112124.192477403,590082.470390966
b_t,1986,277011.001581623,166455.68731789,113590.285091415,555098.755883123
b_t,1987,330376.935427703,208479.400090859,132768.116666764,682816.885714615
b_t,1988,262585.440139736,156107.56980065,108742.985185574,519952.435467087
b_t,1989,403630.525540742,236634.061005424,165727.900560493,820841.641518957
b_t,1990,372807.398657376,244534.605828342,151082.069660795,750320.740561651
b_t,1991,293704.607412924,174200.450062653,120550.773329242,593753.402417057
b_t,1992,330725.923190756,213205.419478182,132544.3252946,664558.490705935
b_t,1993,319670.974758319,190849.845148889,126251.330504773,642630.468295677
b_t,1994,302933.417881964,179987.199327409,122910.643880165,607186.397590398
b_t,1995,356582.012535195,214731.493020031,147022.35571856,719535.664619345
b_t,1996,397690.634407533,244175.638758906,157058.80814973,817567.986782447
b_t,1997,376602.852004088,247947.151340264,147796.787186203,773200.306534735
b_t,1998,315918.953001711,180665.09384224,124485.646010281,652221.761019123
b_t,1999,289669.201284716,169769.112865431,114891.577264448,598285.450892868
b_t,2000,254716.573906043,154276.333596993,101911.352889732,533538.08314096
b_t,2001,240449.353733384,153692.755580982,98230.5670330658,491796.102150282
b_t,2002,273097.446389433,180421.210901092,111157.673092767,556904.605728641
b_t,2003,273603.305635209,157996.025201411,114446.591122707,545177.460854419
b_t,2004,302965.419866615,183130.563081905,121231.163417552,606735.261373321
b_t,2005,279614.149359069,162811.770558063,114660.817636525,568796.485007593
b_t,2006,354708.581583561,197525.399216028,148875.142862325,715234.985131774
b_t,2007,423392.408449927,240068.009174806,176375.724344679,844564.828883898
b_t,2008,427652.666906703,251796.163158307,178995.505786768,853125.092118558
b_t,2009,447735.226944549,260698.648926119,184274.07154703,886209.634771675
b_t,2010,535630.738453938,319832.701858605,216615.373942392,1105731.22474802
b_t,2011,492306.043975591,287990.259294711,196636.828166437,1002686.70277094
b_t,2012,373816.45152815,210964.267402271,149938.516139497,765123.482575702
b_t,2013,395490.950639023,220273.369499809,163630.958845382,780118.183796407
b_t,2014,433276.381501767,260787.905254879,173614.739552954,889799.829043422
b_t,2015,347558.482401832,204365.62901066,137138.720636469,714929.9849816
b_t,2016,305542.783603094,204168.811080317,110153.414576457,667827.868673082
b_t,2017,266991.04447555,187544.559519284,91102.2437329223,571719.582712772
b_t,2018,229337.781592267,193697.721343779,78074.2017211789,487272.671113824
b_t,2019,182431.184975121,106933.995359967,71767.3077742093,380264.17986989
bmsy,1951,171429.754875721,90260.6206343417,80180.2689029844,326512.895414523
ck,1951,0.00142139604959036,0.000607352331778674,0.000612534581573091,0.00249438095503328
ck,1952,0.00248744308678312,0.00106286658061268,0.00107193551775291,0.00436516667130824
ck,1953,0.00177674506198794,0.000759190414723342,0.000765668226966363,0.0031179761937916
ck,1954,0.00106604703719277,0.000455514248834005,0.000459400936179818,0.00187078571627496
ck,1955,0.00213209407438553,0.000911028497668011,0.000918801872359636,0.00374157143254992
ck,1956,0.0031981411115783,0.00136654274650202,0.00137820280853945,0.00561235714882488
ck,1957,0.00142139604959036,0.000607352331778674,0.000612534581573091,0.00249438095503328
ck,1958,0.00461953716116865,0.00197389507828069,0.00199073739011254,0.00810673810385817
ck,1959,0.00355349012397589,0.00151838082944668,0.00153133645393273,0.0062359523875832
ck,1960,0.00497488617356624,0.00212573316122536,0.00214387103550582,0.00873033334261649
ck,1961,0.00284279209918071,0.00121470466355735,0.00122506916314618,0.00498876191006656
ck,1962,0.00604093321075901,0.00258124741005936,0.00260327197168563,0.0106011190588914
ck,1963,0.00355349012397589,0.00151838082944668,0.00153133645393273,0.0062359523875832
ck,1964,0.00497488617356624,0.00212573316122536,0.00214387103550582,0.00873033334261649
ck,1965,0.00390883913637348,0.00167021891239135,0.001684470099326,0.00685954762634152
ck,1966,0.00426418814877107,0.00182205699533602,0.00183760374471927,0.00748314286509985
ck,1967,0.00497488617356624,0.00212573316122536,0.00214387103550582,0.00873033334261649
ck,1968,0.00533023518596383,0.00227757124417003,0.00229700468089909,0.00935392858137481
ck,1969,0.00355349012397589,0.00151838082944668,0.00153133645393273,0.0062359523875832
ck,1970,0.00454846735868914,0.00194352746169176,0.00196011066103389,0.0079820190561065
ck,1971,0.00419311834629155,0.00179168937874709,0.00180697701564062,0.00735842381734818
ck,1972,0.00433525795125058,0.00185242461192496,0.00186823047379793,0.00760786191285151
ck,1973,0.00735572455663009,0.00314304831695464,0.00316986645964074,0.0129084214422972
ck,1974,0.0151876167898729,0.00648955966505513,0.00654493200410847,0.0266524605045306
ck,1975,0.0124940712758992,0.00533862699633454,0.00538417897202747,0.0219256085947425
ck,1976,0.00998886073849622,0.00426816851157463,0.00430458677200489,0.0175292621614964
ck,1977,0.010752861115151,0.00459462038990567,0.00463382410960043,0.0188699919248268
ck,1978,0.00922130687171743,0.00394019825241415,0.00397381809795542,0.0161822964457784
ck,1979,0.0173481387852503,0.00741273520935871,0.00747598456809957,0.0304439195561812
ck,1980,0.0117478383498643,0.00501976702215074,0.00506259831670159,0.0206160585933501
ck,1981,0.0145373280971854,0.00621169597326639,0.00626469743303878,0.0255112812176029
ck,1982,0.0111330845584165,0.00475708713865646,0.00479767711017123,0.0195372388302982
ck,1983,0.00932080459518875,0.00398271291563865,0.00401669551866554,0.0163569031126307
ck,1984,0.0130413087549915,0.00557245764406933,0.00562000478593311,0.0228859452624304
ck,1985,0.0155323053318986,0.00663684260551146,0.00669347164013995,0.0272573478861262
ck,1986,0.0172699620025228,0.00737933083111089,0.00744229516611305,0.0303067286036544
ck,1987,0.0178100925013672,0.00761012471718678,0.00767505830711082,0.031254593366567
ck,1988,0.0125758015487507,0.00537354975541182,0.00541939971046792,0.022069035499657
ck,1989,0.0323260996578087,0.0138127104054765,0.013930567721426,0.0567284588698444
ck,1990,0.02357740697258,0.0100744568033788,0.0101604173718436,0.0413755440916146
ck,1991,0.0195548561522393,0.00835564970444511,0.00842694450599179,0.0343164459888704
ck,1992,0.020638670640052,0.00881875585742634,0.00889400212444128,0.0362184114670832
