variable,year,mean,sd,lower,upper
b_t,1951,1102663.27393589,845678.616168478,380828.050793434,2575405.6535427
b_t,1952,576545.833252282,477166.380966972,173868.110190676,1396587.6651102
b_t,1953,426902.982627604,349519.69642425,127151.684949696,995150.731493914
b_t,1954,400584.317347155,331318.511615243,117249.687122777,979016.996313578
b_t,1955,405180.544300527,340440.025957444,113550.841979974,1008966.97096411
b_t,1956,380192.696848053,319935.138409145,110860.377871222,933504.197348818
b_t,1957,326862.546836481,275323.302722141,98060.6833164403,777028.710350619
b_t,1958,317614.483625427,266911.633534074,91638.9465330437,786773.768474236
b_t,1959,279260.220885198,232840.109946455,82153.8758495877,661188.038420311
b_t,1960,281718.189683224,233429.307524063,81547.6039443328,667223.239853136
b_t,1961,297996.692995309,243709.820530944,86372.9080908034,700945.275117856
b_t,1962,277471.496484972,234883.415955331,80361.9707997636,680323.126898018
b_t,1963,275531.92425555,230034.201441569,79503.5483538186,649988.758669505
b_t,1964,281633.756864745,238082.776693336,82383.0203097178,687502.34097322
b_t,1965,289750.5764726,242778.746220456,83994.3630775209,707821.434225727
b_t,1966,271091.977059262,234111.601594318,78828.7339897291,664621.918459021
b_t,1967,238912.503949294,209902.667544227,70401.7270458357,562786.002223392
b_t,1968,220315.156784392,186315.152769313,65395.8011692437,522581.003532287
b_t,1969,243961.878114195,205610.153327005,73073.2124123634,585734.328369512
b_t,1970,282706.71561799,239202.528092592,81546.630192185,691151.322333671
b_t,1971,290505.553931312,244120.22413258,84545.00365545,739306.299281931
b_t,1972,317009.668057486,266904.238013398,94123.2537628201,777286.556609884
b_t,1973,434530.890073891,352482.550915296,123242.919703048,1075605.27483291
b_t,1974,647791.801393664,543378.477955607,191634.38009134,1518431.32280941
b_t,1975,1515522.19100964,1276267.26436508,449274.035388865,3708676.60404503
b_t,1976,2130416.35215747,1759274.89193738,627154.934802792,5346767.62343302
b_t,1977,2299248.09635253,1877112.03686846,678008.13777939,5808334.34719309
b_t,1978,1863739.98897765,1524667.23404529,560294.998078953,4528111.03785421
b_t,1979,1832751.48672858,1484670.08242211,547116.463745426,4482282.59242829
b_t,1980,1919331.22356117,1601857.82869683,553856.44069668,4681123.46934286
b_t,1981,2171865.42279035,1715864.2897859,658312.650767643,5262080.40986571
b_t,1982,2103301.85701862,1752819.69423076,625298.238385081,5174586.77058889
b_t,1983,1947592.54671264,1622200.94271665,575109.07196526,4570532.20155038
b_t,1984,2083299.35022722,1719042.74765745,629585.377170691,5060245.50207314
b_t,1985,1952762.18253057,1707422.4071384,585412.225179523,4711920.58131102
b_t,1986,1819421.66340628,1491583.90745947,545431.936935526,4339154.02598825
b_t,1987,2130044.69465903,1754381.22469659,613329.765964212,5342118.36271191
b_t,1988,1894355.38458044,1566658.57509519,557965.395026251,4555751.23377273
b_t,1989,2052301.31461128,1698198.35616609,612304.525747958,5019322.08111101
b_t,1990,1958896.68326021,1723940.52464567,546866.708207238,4973250.15223541
b_t,1991,1577108.90793274,1316370.73263848,484528.811578075,3907261.06019175
b_t,1992,1747204.18334438,1419589.6034086,510088.587754499,4177315.99480066
b_t,1993,1886270.25168033,1578276.20422164,571511.200394439,4494870.13230801
b_t,1994,1942995.50718848,1587850.25797589,576776.195045303,4773108.40848619
b_t,1995,1753813.41726252,1480818.08889642,513648.697231496,4426756.47282302
b_t,1996,1778914.55471375,1539342.46406673,514591.408692634,4352180.59976325
b_t,1997,1652576.34880854,1413975.39660025,492190.096008279,3989069.81123714
b_t,1998,1685387.75157708,1369153.39095839,504255.040226293,4112405.58551718
b_t,1999,1753321.88755826,1478180.06123121,499880.166863365,4404832.67809952
b_t,2000,1620699.73835301,1381397.92917856,484560.746811887,3980762.62510594
b_t,2001,1578739.75175661,1339842.79005934,448274.327802505,3764621.89713484
b_t,2002,1468535.17887932,1264373.10625257,434035.313032178,3566548.52936389
b_t,2003,1227932.27778471,1053160.93800743,360303.931948896,3000236.29873779
b_t,2004,1229621.63478054,1064351.7621684,368074.273786569,2932300.49691359
b_t,2005,1327702.0267128,1109559.1797391,401479.571653564,3159429.55908057
b_t,2006,1641696.43760882,1368540.73578014,487442.630356619,3939762.66535254
b_t,2007,2130340.18888772,1799118.82436095,646761.478257948,5192978.10540007
b_t,2008,2045192.11016582,1699090.35599322,622185.922426354,4919508.01856382
b_t,2009,2032556.62372391,1671833.23668548,603334.834295,5007096.66219302
b_t,2010,2163306.29292893,1831130.22974311,643634.640525113,5351205.67888521
b_t,2011,1807686.92035656,1462952.58790615,524171.383342905,4413446.79867703
b_t,2012,1154174.92813374,958064.820462738,333121.094872077,2826935.53726585
b_t,2013,991167.826615892,803815.035465719,302304.479592872,2436408.01395683
b_t,2014,1046690.50504212,887050.780063736,307071.802988939,2496458.77288532
b_t,2015,1058086.7313009,899183.056908472,310310.577399171,2625337.83767927
b_t,2016,1048760.93410245,936060.521770196,278662.392557833,2655138.25940313
b_t,2017,1009873.93354122,919575.309663048,269545.411270881,2519443.54498159
b_t,2018,935629.345888632,887795.998081235,250999.65493285,2386195.34935866
b_t,2019,806159.206065617,677071.899100414,244637.732120895,2002681.80379998
bmsy,1951,779788.000936773,596125.637917691,267420.292313114,1792232.74507557
ck,1951,0.000734348552999324,0.000410306077254039,0.000223185336230622,0.0014957728927834
ck,1952,0.000826142122124239,0.000461594336910794,0.00025108350325945,0.00168274450438133
ck,1953,0.000826142122124239,0.000461594336910794,0.00025108350325945,0.00168274450438133
ck,1954,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1955,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1956,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1957,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1958,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1959,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1960,0.000917935691249155,0.000512882596567548,0.000278981670288278,0.00186971611597925
ck,1961,0.00110152282949899,0.000615459115881058,0.000334778004345933,0.00224365933917511
ck,1962,0.0011933163986239,0.000666747375537813,0.000362676171374761,0.00243063095077303
ck,1963,0.0011933163986239,0.000666747375537813,0.000362676171374761,0.00243063095077303
ck,1964,0.00128510996774882,0.000718035635194568,0.000390574338403589,0.00261760256237096
ck,1965,0.00146869710599865,0.000820612154508078,0.000446370672461244,0.00299154578556681
ck,1966,0.00156049067512356,0.000871900414164832,0.000474268839490072,0.00317851739716473
ck,1967,0.00146869710599865,0.000820612154508078,0.000446370672461244,0.00299154578556681
ck,1968,0.00156049067512356,0.000871900414164832,0.000474268839490072,0.00317851739716473
ck,1969,0.00174407781337339,0.000974476933478342,0.000530065173547728,0.00355246062036058
ck,1970,0.00146869710599865,0.000820612154508078,0.000446370672461244,0.00299154578556681
ck,1971,0.00146869710599865,0.000820612154508078,0.000446370672461244,0.00299154578556681
ck,1972,0.00137690353687373,0.000769323894851323,0.000418472505432416,0.00280457417396888
ck,1973,0.00220304565899797,0.00123091823176212,0.000669556008691866,0.00448731867835021
ck,1974,0.00286487729238861,0.00160070658388732,0.000870701792969714,0.00583538399797125
ck,1975,0.0137506766549123,0.00768298129658188,0.0041791454209184,0.0280083474173692
ck,1976,0.0127675675295845,0.00713368403565803,0.00388035605203965,0.0260058814571555
ck,1977,0.0165834261981072,0.00926573698958933,0.00504008285542802,0.0337782913512812
ck,1978,0.0171874278829492,0.00960321373813078,0.00522365279447771,0.0350085645555956
ck,1979,0.016280507419995,0.00909648573272204,0.00494801890423289,0.0331612850330081
ck,1980,0.0144868610792942,0.00809431313902905,0.0044028887204896,0.0295078597423846
ck,1981,0.0209830919662644,0.0117239832749376,0.00637724200111974,0.0427398406951698
ck,1982,0.0181806343008808,0.0101581527076169,0.00552551096172963,0.0370315973930851
ck,1983,0.0187185446159528,0.0104587019092054,0.00568899422051856,0.038127251037049
ck,1984,0.0209537180241445,0.0117075710318474,0.00636831458767051,0.0426800097794584
ck,1985,0.020594805168866,0.0115070339365895,0.0062592327545878,0.0419489507781106
ck,1986,0.0237469963326156,0.0132682727732025,0.00721725581035774,0.0483695559203833
ck,1987,0.0221341833230909,0.0123671380510333,0.00672708501566124,0.0450844647046078
ck,1988,0.0257811418244238,0.0144048206071962,0.00783547919171656,0.0525128468333933
ck,1989,0.0267146824224242,0.0149264222079054,0.00811920355039975,0.0544143481233443
ck,1990,0.0229979608085563,0.0128497605744034,0.00698960676740251,0.0468438675697442
ck,1991,0.0212685699662429,0.0118834897624701,0.00646400530057939,0.0433213224072393
ck,1992,0.0200155877476878,0.0111834050181554,0.00608319532063589,0.0407691599089276
ck,1993,0.0263475081459245,0.0147212691692783,0.00800761088228443,0.0536664616769525
ck,1994,0.0302826984543096,0.0169199968607634,0.00920360530281028,0.0616819346661556
ck,1995,0.0242793990335401,0.0135657446792117,0.00737906517912494,0.0494539912676513
ck,1996,0.0273866113484185,0.0153018522685928,0.00832341813305076,0.0557829803202411
ck,1997,0.0278162052519231,0.0155418813237864,0.00845398155474568,0.0566580074625194
ck,1998,0.0336561121196503,0.0188048404031492,0.0102288629411197,0.0685531413923794
ck,1999,0.0366146188525463,0.0204578610118864,0.0111280208644588,0.0745792364341805
ck,2000,0.0390278717848403,0.0218062293582625,0.0118614636756467,0.07949472010309
ck,2001,0.0370616535341846,0.0207076348364148,0.0112638849378892,0.0754897881826624
ck,2002,0.0318239124799169,0.0177811267404003,0.0096720155272243,0.0648211880248848
ck,2003,0.0289269074383346,0.0161624692656332,0.00879154937579449,0.0589203639628543
ck,2004,0.0270359599143614,0.015105931116704,0.00821684713500064,0.055068748763937
ck,2005,0.0406764842863238,0.0227273665016978,0.0123625147554844,0.0828527302473887
ck,2006,0.0352496484796588,0.0196952045907904,0.0107131751207401,0.0717989685697194
ck,2007,0.0629244916351296,0.0351581019947055,0.0191241934982614,0.128169039750378
ck,2008,0.0549861837772069,0.0307226932995893,0.0167115600136084,0.111999734779389
ck,2009,0.0548530831019757,0.030648325323087,0.0166711076714166,0.111728625942572
ck,2010,0.0606250627285504,0.0338733310903037,0.0184253444141893,0.12348540087985
ck,2011,0.0547144748125971,0.0305708800510053,0.0166289814392031,0.111446298809059
ck,2012,0.0261299573870984,0.0145997159938918,0.00794149222642611,0.0532233389574655
ck,2013,0.0241628212007515,0.0135006085894476,0.00734363450699833,0.0492165373209219
ck,2014,0.0256966917408288,0.014357635408312,0.00780981287805004,0.0523408329507233
ck,2015,0.0306654776375605,0.0171338689035321,0.00931994065932049,0.062461606286519
ck,2016,0.0176959642559012,0.0098873506966292,0.00537820863981742,0.0360443872838481
ck,2017,0.0231062772201237,0.0129102807207983,0.00702252660449653,0.0470644940714298
ck,2018,0.0190655243072449,0.010652571530708,0.00579444929188753,0.0388340037288891
ck,2019,0.0195657992589757,0.0109320925458373,0.00594649430219464,0.0398529990120978
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.708434395986244,0.0740100695733147,0.599054081841092,0.833465423735532
dep_t,1952,0.365703104631921,0.0800275663438527,0.252620250551617,0.503639719724093
dep_t,1953,0.271125481894419,0.0637827328084628,0.179333505407842,0.381459755312984
dep_t,1954,0.252907514372316,0.0591668836612232,0.168101567811439,0.35607692712638
dep_t,1955,0.254371847123956,0.0616579550207603,0.169662644805169,0.36121313925544
dep_t,1956,0.240259788294408,0.0581667749191755,0.158416644517786,0.337712591601788
dep_t,1957,0.20814838080998,0.0494169263410714,0.139755776384723,0.293343314306306
dep_t,1958,0.199745934225135,0.0483543927466461,0.132900249029078,0.285554522406593
dep_t,1959,0.176601584689861,0.0418468148664596,0.117579133340834,0.24891838184821
dep_t,1960,0.178511340921183,0.043715395277228,0.117937957681126,0.255113936552734
dep_t,1961,0.189330824856493,0.044772620927973,0.125776371087083,0.268866537069334
dep_t,1962,0.174806875565971,0.0399942535000467,0.117803942773852,0.243484260650261
dep_t,1963,0.174659218492225,0.0413846793620849,0.115003370052335,0.24666934773624
dep_t,1964,0.177812798879835,0.0423708417366743,0.119294259961033,0.247602892139176
dep_t,1965,0.18361270868293,0.0430869311156953,0.122897667311438,0.258618418010265
dep_t,1966,0.171493260634304,0.0401759271966527,0.116091455722064,0.242167240198964
dep_t,1967,0.150582616261838,0.0351847629867494,0.100326495384453,0.211798663773507
dep_t,1968,0.139276910559919,0.032261015002672,0.0929498899266145,0.195803182102353
dep_t,1969,0.154203878269357,0.0353946442460971,0.104335564493793,0.214226644941822
dep_t,1970,0.178938517299844,0.0425306390339258,0.120663711254728,0.252157952379068
dep_t,1971,0.18281970224213,0.0425563246935944,0.123317121369113,0.256980960472025
dep_t,1972,0.200234402570801,0.0461160189531472,0.138435286447917,0.280340347454675
dep_t,1973,0.275438481600488,0.064383145561922,0.184847493083994,0.387291609394453
dep_t,1974,0.410353233818333,0.0966664210191195,0.276663638070601,0.576703249025293
dep_t,1975,0.958760021275571,0.227295143075152,0.627644550535761,1.3481234835962
dep_t,1976,1.34076038088105,0.301754570345253,0.909595897898778,1.84894795325592
dep_t,1977,1.46120346788815,0.339185156784312,0.977986746197556,2.06065484269609
dep_t,1978,1.18981982021496,0.271472795979917,0.817401164278186,1.65347443316283
dep_t,1979,1.16447298990154,0.269871858521708,0.787847258909365,1.62695074677168
dep_t,1980,1.21383372050068,0.277557816192226,0.805656247419872,1.6788241055197
dep_t,1981,1.38778780093855,0.304611360368633,0.95426042431047,1.89153129296253
dep_t,1982,1.33214527157629,0.302872197256953,0.901809789289939,1.85160135906282
dep_t,1983,1.23456162597973,0.279891719360918,0.845040579776693,1.74477126040529
dep_t,1984,1.32255255815641,0.293394486892774,0.906833747905574,1.82874926205441
dep_t,1985,1.22848184455697,0.285414718583885,0.82577530015807,1.74079842118908
dep_t,1986,1.15649333171332,0.259793647021882,0.779905102372217,1.59522719483142
dep_t,1987,1.35158492758726,0.326411700785104,0.889860299531955,1.91240716797878
dep_t,1988,1.20576768159787,0.279815554013837,0.815939757104197,1.69805612516425
dep_t,1989,1.30010734588849,0.301913096083387,0.87452121397665,1.8232921323476
dep_t,1990,1.22038024208706,0.299598492905545,0.794751411113867,1.73403132069056
dep_t,1991,1.00134355599521,0.229111125770605,0.686489224400827,1.39006809662218
dep_t,1992,1.11023706980658,0.25983826607857,0.741015719571956,1.54793725479106
dep_t,1993,1.20088485582468,0.27511497158711,0.811171147796224,1.66883533535868
dep_t,1994,1.23254382115532,0.286262467898212,0.836708153999063,1.7534619929381
dep_t,1995,1.10843493518777,0.250012008926783,0.746026111284092,1.54505633367735
dep_t,1996,1.12529974840492,0.265074033960993,0.748657768577023,1.58825927192924
dep_t,1997,1.05190443455007,0.243679755403951,0.708316218911904,1.47068777708867
dep_t,1998,1.07080659871849,0.245703827190852,0.723855508704812,1.49737019342668
dep_t,1999,1.11182665564593,0.274150324675758,0.715072406098382,1.59322421808321
dep_t,2000,1.0259001752466,0.236048548323565,0.689506523413955,1.41525970241838
