variable,year,mean,sd,lower,upper
b_t,1951,79876.9531111194,44475.6454770459,34114.0565343921,158462.39027319
b_t,1952,66420.1388966344,43033.9719220785,24787.0851848279,141102.829109424
b_t,1953,46945.2341173098,30391.6357628365,16434.242681212,99848.4932287633
b_t,1954,41719.6316116983,27181.2774538349,14915.3915343125,89116.9891950297
b_t,1955,41686.5078261685,27065.9665796605,14241.8219492356,90519.1676156548
b_t,1956,39698.0707143367,27355.1789003163,13684.0893430191,88054.4628471149
b_t,1957,34691.1494511571,22334.5682983939,12336.3732584333,75174.0664184356
b_t,1958,36045.5615631387,23923.2642269254,12312.203790069,76730.7951175959
b_t,1959,38711.0321792008,26037.9113856398,13041.5092483181,84863.0640471409
b_t,1960,42289.0485286564,28870.8349815867,14419.7984087865,92930.795639441
b_t,1961,49396.8481652405,33464.7530570566,16805.843678461,109063.967671136
b_t,1962,44505.0675865767,29744.6797721266,15543.6109504745,95577.5300080072
b_t,1963,45112.0703389427,29420.8813571699,15735.5868697467,96310.8501648579
b_t,1964,49781.436579758,34096.8810011184,17651.7511038782,108457.99327958
b_t,1965,52320.1117953557,35377.484341349,17269.1351771194,119350.485745611
b_t,1966,57798.2043907896,39001.9347496796,19645.8700390177,127370.505759921
b_t,1967,40584.0911116839,27444.6123215977,14150.1582955225,85618.9370103183
b_t,1968,27350.418773288,17412.3537786891,9478.86123763397,57148.2867336622
b_t,1969,24880.9420563126,15932.9700768306,8915.16572185382,55478.2592934704
b_t,1970,22192.9381477091,14298.6657654915,7468.15986431086,48846.2927287009
b_t,1971,21813.8274189311,13701.9314171826,7671.79244460903,46884.7506922063
b_t,1972,18991.8456179376,12438.718515172,6706.01340764452,40859.920145018
b_t,1973,17739.0108611955,11218.9520823603,6377.43034367307,38429.912631374
b_t,1974,17255.4740567361,11807.0343691671,6060.86194517756,36888.5127021991
b_t,1975,64100.0425121546,44016.0054182736,21979.9581464665,138786.714510021
b_t,1976,56875.2225295593,36945.5823766867,19362.5158763076,123190.183868757
b_t,1977,58205.4660725051,38735.7666035094,20707.7762815435,126613.14456963
b_t,1978,50376.4151399792,32828.598042538,17909.6133160592,107569.324665645
b_t,1979,66447.8971931927,45107.7725930916,23473.500475016,146798.773244997
b_t,1980,84649.8852626553,56704.4947169103,30018.8991854851,180392.799281569
b_t,1981,86951.696518533,54942.4184233693,31447.792280118,182773.266716909
b_t,1982,82296.8011827149,53497.126877446,29730.1424106027,177411.602689961
b_t,1983,83128.8220788392,52013.8036827713,30063.0828047084,179361.927153943
b_t,1984,84655.5075034498,53181.7797091774,29912.7552181995,179523.293837653
b_t,1985,92363.1345364981,57059.3100817546,33848.9197223334,195308.976225427
b_t,1986,83527.6257393115,52407.0493503339,30028.6547194153,179519.831224774
b_t,1987,98996.7544535098,63549.8281018259,34748.5145768652,218774.504395292
b_t,1988,86794.7309134543,56439.5000425193,31415.9393994061,185859.363307293
b_t,1989,97956.4532597249,61815.5101214301,35780.0080778446,202831.941764406
b_t,1990,116488.853586696,72657.5499315029,42827.5384318414,245984.210020276
b_t,1991,98389.5698663659,62174.6688444537,36599.3626435389,208703.669209072
b_t,1992,118704.773073521,76328.1963093797,42172.430192995,254956.191689004
b_t,1993,101908.685262501,65059.0407226232,37003.1803138222,217329.852594146
b_t,1994,104618.434912322,65083.4823090273,38316.8432095331,224204.301829329
b_t,1995,112864.816314933,69587.1464775562,40388.5872185078,239801.041988105
b_t,1996,122539.797383813,76455.7916271524,44123.9562658845,260729.575827592
b_t,1997,95331.7482211185,60151.2420873662,35617.3769885444,205542.973605212
b_t,1998,93224.1803878468,59048.0379012572,34263.6795097889,197779.363619058
b_t,1999,92375.7921125895,57801.0192162848,32680.0939166733,200495.322431391
b_t,2000,74911.21582987,46929.9955814297,27127.1584207037,158077.737524423
b_t,2001,64950.1636452619,42045.144448438,23204.8285138119,142202.068143616
