variable,year,mean,sd,lower,upper
b_t,1951,535229.453600321,245335.973199555,245110.604878562,996160.925291992
b_t,1952,105875.244513249,61921.9292943034,41663.1508586598,215625.208290325
b_t,1953,56961.2307034224,35517.9737672654,21024.3057649505,123726.317461183
b_t,1954,44876.2239935164,27910.0328215875,15801.1575645974,94107.2525364742
b_t,1955,42148.430178783,26372.8764952906,15669.9277356564,92017.6973618388
b_t,1956,39511.3549100334,26089.8741873476,13537.9073281329,85729.2800825785
b_t,1957,33832.2731904235,21084.8131576117,11545.2773198828,69754.2241693257
b_t,1958,32298.8740531914,20375.346326704,11413.1819054481,68054.412269649
b_t,1959,30436.2410794441,19961.6575888924,10764.4142864066,65347.1048932877
b_t,1960,33999.7846985809,22026.8324249985,11921.956410508,72855.3434761903
b_t,1961,36071.9438477805,22838.7463883611,12625.9475996847,77255.6231292765
b_t,1962,33467.0057388096,21812.0425245757,11082.2422541386,70667.0203811069
b_t,1963,35308.7903080888,22208.7746050802,12006.0625516131,75518.5737822649
b_t,1964,41942.5140069027,26236.0354500428,13995.3358613372,89220.9277071975
b_t,1965,48776.0475663966,32250.7889076066,15672.4663861394,109834.976164607
b_t,1966,52528.4879265401,33445.1546925634,17179.8931604899,117907.575708447
b_t,1967,50176.8793301441,32031.019268152,16840.4669435761,105687.822467947
b_t,1968,41771.9958264786,27180.318645918,14426.3038212104,88945.9056603426
b_t,1969,40371.7651086998,25439.463571743,13564.8651938698,87484.1677586027
b_t,1970,47819.4040068006,30921.2264770184,16307.560190028,105838.753610241
b_t,1971,54283.168411521,34723.8602075973,18601.8787486111,116866.253012868
b_t,1972,60378.9030767433,37584.6752921816,20913.5821607638,128975.391750309
b_t,1973,64099.49275817,39288.2365884643,21516.1782130363,134469.563408395
b_t,1974,67838.7293918161,44157.092414383,22804.0289621855,144943.081598227
b_t,1975,92963.1698327686,64379.4836585983,31024.5091188555,206845.882691683
b_t,1976,100258.647882929,66078.924382712,33887.2525438844,208807.544591446
b_t,1977,109871.371354799,66080.4612269401,39252.6523706381,231724.743090842
b_t,1978,231890.398474569,141129.719343542,77263.5187845397,496267.123054809
b_t,1979,376187.639549801,240074.078314191,126191.976484035,815271.168923041
b_t,1980,464478.50210304,294647.503621884,153978.693439563,1021933.3413001
b_t,1981,597054.24106124,366669.280419168,205750.635778334,1265992.0779456
b_t,1982,859730.970138926,536071.962929401,299488.768797323,1810950.0010898
b_t,1983,841157.113235209,533394.311887281,308062.733569185,1753944.56088052
b_t,1984,816475.074110116,515875.475198887,284887.264211911,1775094.44440238
b_t,1985,618215.682966423,378463.723027582,210621.356426417,1303112.99129005
b_t,1986,519234.944424611,330344.716207725,172919.595547463,1149468.39581329
b_t,1987,619428.31566856,407558.954308183,201744.989334491,1384317.29677708
b_t,1988,602238.521896891,365351.477709964,198231.736226115,1237908.1511685
b_t,1989,690669.702937944,439576.293369664,231880.552044503,1489720.59286217
b_t,1990,686854.401982007,426891.338051696,237073.2304792,1535643.7975556
b_t,1991,733951.181091753,459579.986914627,260237.819790585,1568708.57965848
b_t,1992,811764.021806098,512091.479282159,281858.501763031,1696088.30851044
b_t,1993,834494.706113834,510526.171714872,285098.165007043,1840272.98516927
b_t,1994,778279.850526806,479930.761778626,283809.842409244,1703877.05505595
b_t,1995,852763.510410022,520329.703522481,308535.534209069,1822417.86482059
b_t,1996,908887.555978514,559660.881164707,322619.843282985,1966476.76565932
b_t,1997,836561.838571587,515141.151617589,281533.141459542,1796900.49578218
b_t,1998,858216.640215746,516886.729648978,309319.656205136,1818145.01987419
b_t,1999,905854.741300553,559474.07657363,323268.267893163,1883336.06377822
b_t,2000,836150.277097583,527913.830717142,294555.236432001,1722297.66810257
b_t,2001,778492.187601403,461073.228194792,296353.18065212,1643895.91446663
b_t,2002,885383.859236138,532986.610555563,326396.395442672,1938965.25991323
b_t,2003,784826.401167456,489897.998480006,267627.232563848,1733167.00883893
b_t,2004,748703.477795647,464459.792612302,261744.226096598,1624624.7576082
b_t,2005,718748.690368096,443309.192267966,263977.265448438,1590459.06186124
b_t,2006,889352.861237546,525955.427884017,306611.444618703,1897278.64446863
